FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
45001,Abbeville,South Carolina,US,4/10/2020 22:54,34.22333,-82.46170658,7,0,0,0,"Abbeville, South Carolina, US"
22001,Acadia,Louisiana,US,4/10/2020 22:54,30.29506,-92.41419698,94,4,0,0,"Acadia, Louisiana, US"
51001,Accomack,Virginia,US,4/10/2020 22:54,37.76707,-75.63234615,12,0,0,0,"Accomack, Virginia, US"
16001,Ada,Idaho,US,4/10/2020 22:54,43.45266,-116.2415516,495,6,0,0,"Ada, Idaho, US"
19001,Adair,Iowa,US,4/10/2020 22:54,41.33076,-94.47105874,1,0,0,0,"Adair, Iowa, US"
21001,Adair,Kentucky,US,4/10/2020 22:54,37.10460,-85.28129668,6,0,0,0,"Adair, Kentucky, US"
29001,Adair,Missouri,US,4/10/2020 22:54,40.19059,-92.60078167,11,0,0,0,"Adair, Missouri, US"
40001,Adair,Oklahoma,US,4/10/2020 22:54,35.88494,-94.65859267,26,2,0,0,"Adair, Oklahoma, US"
8001,Adams,Colorado,US,4/10/2020 22:54,39.87432,-104.3362578,475,14,0,0,"Adams, Colorado, US"
16003,Adams,Idaho,US,4/10/2020 22:54,44.89334,-116.4545247,1,0,0,0,"Adams, Idaho, US"
17001,Adams,Illinois,US,4/10/2020 22:54,39.98816,-91.18786813,24,0,0,0,"Adams, Illinois, US"
18001,Adams,Indiana,US,4/10/2020 22:54,40.74577,-84.93671406,4,0,0,0,"Adams, Indiana, US"
28001,Adams,Mississippi,US,4/10/2020 22:54,31.47670,-91.35326037,42,1,0,0,"Adams, Mississippi, US"
31001,Adams,Nebraska,US,4/10/2020 22:54,40.52449,-98.50117804,38,0,0,0,"Adams, Nebraska, US"
39001,Adams,Ohio,US,4/10/2020 22:54,38.84541,-83.4718964,3,0,0,0,"Adams,Ohio,US"
42001,Adams,Pennsylvania,US,4/10/2020 22:54,39.87140,-77.21610347,43,1,0,0,"Adams, Pennsylvania, US"
53001,Adams,Washington,US,4/10/2020 22:54,46.98300,-118.5601734,30,0,0,0,"Adams, Washington, US"
55001,Adams,Wisconsin,US,4/10/2020 22:54,43.96975,-89.76782777,2,0,0,0,"Adams, Wisconsin, US"
50001,Addison,Vermont,US,4/10/2020 22:54,44.03217,-73.14130877,50,0,0,0,"Addison, Vermont, US"
45003,Aiken,South Carolina,US,4/10/2020 22:54,33.54338,-81.63645384,48,1,0,0,"Aiken, South Carolina, US"
12001,Alachua,Florida,US,4/10/2020 22:54,29.67867,-82.35928158,167,0,0,0,"Alachua, Florida, US"
37001,Alamance,North Carolina,US,4/10/2020 22:54,36.04347,-79.39976137,33,0,0,0,"Alamance, North Carolina, US"
6001,Alameda,California,US,4/10/2020 22:54,37.64629,-121.8929271,766,20,0,0,"Alameda, California, US"
8003,Alamosa,Colorado,US,4/10/2020 22:54,37.57251,-105.7885451,5,0,0,0,"Alamosa, Colorado, US"
36001,Albany,New York,US,4/10/2020 22:54,42.60060,-73.97723916,426,11,0,0,"Albany, New York, US"
56001,Albany,Wyoming,US,4/10/2020 22:54,41.65499,-105.7235415,4,0,0,0,"Albany, Wyoming, US"
51003,Albemarle,Virginia,US,4/10/2020 22:54,38.02081,-78.55481085,43,0,0,0,"Albemarle, Virginia, US"
28003,Alcorn,Mississippi,US,4/10/2020 22:54,34.88084,-88.57996173,7,0,0,0,"Alcorn, Mississippi, US"
37003,Alexander,North Carolina,US,4/10/2020 22:54,35.92238,-81.17751948,2,0,0,0,"Alexander, North Carolina, US"
51510,Alexandria,Virginia,US,4/10/2020 22:54,38.81400,-77.08183073,174,1,0,0,"Alexandria, Virginia, US"
19005,Allamakee,Iowa,US,4/10/2020 22:54,43.28383,-91.37860922,20,1,0,0,"Allamakee, Iowa, US"
26005,Allegan,Michigan,US,4/10/2020 22:54,42.59147,-85.89102866,19,0,0,0,"Allegan, Michigan, US"
24001,Allegany,Maryland,US,4/10/2020 22:54,39.62358,-78.69280486,10,0,0,0,"Allegany, Maryland, US"
36003,Allegany,New York,US,4/10/2020 22:54,42.25748,-78.02750466,26,1,0,0,"Allegany, New York, US"
37005,Alleghany,North Carolina,US,4/10/2020 22:54,36.49361,-81.12857041,2,0,0,0,"Alleghany, North Carolina, US"
51005,Alleghany,Virginia,US,4/10/2020 22:54,37.78636,-80.00222498,2,0,0,0,"Alleghany, Virginia, US"
42003,Allegheny,Pennsylvania,US,4/10/2020 22:54,40.46810,-79.98167747,788,18,0,0,"Allegheny, Pennsylvania, US"
18003,Allen,Indiana,US,4/10/2020 22:54,41.09194,-85.06800636,119,9,0,0,"Allen, Indiana, US"
21003,Allen,Kentucky,US,4/10/2020 22:54,36.75198,-86.19457544,3,0,0,0,"Allen, Kentucky, US"
22003,Allen,Louisiana,US,4/10/2020 22:54,30.65386,-92.82442028,67,5,0,0,"Allen, Louisiana, US"
39003,Allen,Ohio,US,4/10/2020 22:54,40.77285,-84.10802343,24,1,0,0,"Allen, Ohio, US"
45005,Allendale,South Carolina,US,4/10/2020 22:54,32.98837,-81.35321066,4,0,0,0,"Allendale, South Carolina, US"
6003,Alpine,California,US,4/10/2020 22:54,38.59679,-119.8223594,1,0,0,0,"Alpine, California, US"
6005,Amador,California,US,4/10/2020 22:54,38.44583,-120.65696,7,0,0,0,"Amador, California, US"
51007,Amelia,Virginia,US,4/10/2020 22:54,37.34081,-77.98584649,9,0,0,0,"Amelia, Virginia, US"
51009,Amherst,Virginia,US,4/10/2020 22:54,37.60308,-79.14548696,9,0,0,0,"Amherst, Virginia, US"
28005,Amite,Mississippi,US,4/10/2020 22:54,31.17467,-90.80501621,10,1,0,0,"Amite, Mississippi, US"
2020,Anchorage,Alaska,US,4/10/2020 22:54,61.14998,-149.1426986,112,4,0,0,"Anchorage, Alaska, US"
20003,Anderson,Kansas,US,4/10/2020 22:54,38.21413,-95.29272815,0,0,0,0,"Anderson, Kansas, US"
21005,Anderson,Kentucky,US,4/10/2020 22:54,38.00671,-84.99171713,3,1,0,0,"Anderson, Kentucky, US"
45007,Anderson,South Carolina,US,4/10/2020 22:54,34.51828,-82.63959517,100,5,0,0,"Anderson, South Carolina, US"
47001,Anderson,Tennessee,US,4/10/2020 22:54,36.12684,-84.19965764,11,1,0,0,"Anderson, Tennessee, US"
48001,Anderson,Texas,US,4/10/2020 22:54,31.81535,-95.65354823,3,0,0,0,"Anderson, Texas, US"
48003,Andrews,Texas,US,4/10/2020 22:54,32.30469,-102.6376548,11,0,0,0,"Andrews, Texas, US"
23001,Androscoggin,Maine,US,4/10/2020 22:54,44.16647,-70.20380627,24,0,0,0,"Androscoggin, Maine, US"
48005,Angelina,Texas,US,4/10/2020 22:54,31.25457,-94.60901487,16,0,0,0,"Angelina, Texas, US"
24003,Anne Arundel,Maryland,US,4/10/2020 22:54,39.00670,-76.60329337,554,16,0,0,"Anne Arundel, Maryland, US"
27003,Anoka,Minnesota,US,4/10/2020 22:54,45.27476,-93.24604565,55,0,0,0,"Anoka, Minnesota, US"
37007,Anson,North Carolina,US,4/10/2020 22:54,34.97403,-80.09953279,9,0,0,0,"Anson, North Carolina, US"
31003,Antelope,Nebraska,US,4/10/2020 22:54,42.17696,-98.0666283,1,0,0,0,"Antelope, Nebraska, US"
26009,Antrim,Michigan,US,4/10/2020 22:54,44.99690,-85.15503082,6,0,0,0,"Antrim, Michigan, US"
4001,Apache,Arizona,US,4/10/2020 22:54,35.39465,-109.4892383,55,0,0,0,"Apache, Arizona, US"
19007,Appanoose,Iowa,US,4/10/2020 22:54,40.74324,-92.86865906,1,1,0,0,"Appanoose, Iowa, US"
13001,Appling,Georgia,US,4/10/2020 22:54,31.74847,-82.28909114,7,0,0,0,"Appling, Georgia, US"
51011,Appomattox,Virginia,US,4/10/2020 22:54,37.37570,-78.81340003,5,0,0,0,"Appomattox, Virginia, US"
48007,Aransas,Texas,US,4/10/2020 22:54,28.10556,-96.9995047,2,0,0,0,"Aransas, Texas, US"
8005,Arapahoe,Colorado,US,4/10/2020 22:54,39.64977,-104.3353617,877,19,0,0,"Arapahoe, Colorado, US"
8007,Archuleta,Colorado,US,4/10/2020 22:54,37.19474,-107.0476867,6,0,0,0,"Archuleta, Colorado, US"
26011,Arenac,Michigan,US,4/10/2020 22:54,44.06363,-83.89277559,4,0,0,0,"Arenac, Michigan, US"
5001,Arkansas,Arkansas,US,4/10/2020 22:54,34.29145,-91.37277296,2,0,0,0,"Arkansas, Arkansas, US"
51013,Arlington,Virginia,US,4/10/2020 22:54,38.87677,-77.10139853,312,2,0,0,"Arlington, Virginia, US"
42005,Armstrong,Pennsylvania,US,4/10/2020 22:54,40.81666,-79.46290811,22,0,0,0,"Armstrong, Pennsylvania, US"
23003,Aroostook,Maine,US,4/10/2020 22:54,46.65926,-68.59841248,2,0,0,0,"Aroostook, Maine, US"
22005,Ascension,Louisiana,US,4/10/2020 22:54,30.20406,-90.9132841,397,19,0,0,"Ascension, Louisiana, US"
37009,Ashe,North Carolina,US,4/10/2020 22:54,36.43296,-81.49862729,3,0,0,0,"Ashe, North Carolina, US"
39005,Ashland,Ohio,US,4/10/2020 22:54,40.84772,-82.27280781,5,0,0,0,"Ashland, Ohio, US"
55003,Ashland,Wisconsin,US,4/10/2020 22:54,46.31957,-90.67837132,1,0,0,0,"Ashland, Wisconsin, US"
5003,Ashley,Arkansas,US,4/10/2020 22:54,33.19153,-91.7698471,9,0,0,0,"Ashley, Arkansas, US"
39007,Ashtabula,Ohio,US,4/10/2020 22:54,41.70860,-80.74830218,19,0,0,0,"Ashtabula, Ohio, US"
53003,Asotin,Washington,US,4/10/2020 22:54,46.18894,-117.2022851,4,0,0,0,"Asotin, Washington, US"
22007,Assumption,Louisiana,US,4/10/2020 22:54,29.89946,-91.06461642,105,1,0,0,"Assumption, Louisiana, US"
48013,Atascosa,Texas,US,4/10/2020 22:54,28.89333,-98.52730485,7,0,0,0,"Atascosa, Texas, US"
20005,Atchison,Kansas,US,4/10/2020 22:54,39.53186,-95.30870026,2,0,0,0,"Atchison, Kansas, US"
29005,Atchison,Missouri,US,4/10/2020 22:54,40.43239,-95.42970639,1,0,0,0,"Atchison, Missouri, US"
39009,Athens,Ohio,US,4/10/2020 22:54,39.33426,-82.04278644,3,1,0,0,"Athens, Ohio, US"
13003,Atkinson,Georgia,US,4/10/2020 22:54,31.29634,-82.87545866,4,0,0,0,"Atkinson, Georgia, US"
34001,Atlantic,New Jersey,US,4/10/2020 22:54,39.47539,-74.65848483,211,6,0,0,"Atlantic, New Jersey, US"
40005,Atoka,Oklahoma,US,4/10/2020 22:54,34.37367,-96.03802487,1,0,0,0,"Atoka, Oklahoma, US"
28007,Attala,Mississippi,US,4/10/2020 22:54,33.08659,-89.57838564,17,0,0,0,"Attala, Mississippi, US"
19009,Audubon,Iowa,US,4/10/2020 22:54,41.68446,-94.90581859,1,0,0,0,"Audubon, Iowa, US"
39011,Auglaize,Ohio,US,4/10/2020 22:54,40.55999,-84.2242143,9,0,0,0,"Auglaize, Ohio, US"
51015,Augusta,Virginia,US,4/10/2020 22:54,38.16405,-79.12461614,15,0,0,0,"Augusta, Virginia, US"
46003,Aurora,South Dakota,US,4/10/2020 22:54,43.71758,-98.56050467,1,0,0,0,"Aurora, South Dakota, US"
48015,Austin,Texas,US,4/10/2020 22:54,29.88549,-96.27736949,8,0,0,0,"Austin, Texas, US"
1001,Autauga,Alabama,US,4/10/2020 22:54,32.53953,-86.64408227,17,1,0,0,"Autauga, Alabama, US"
22009,Avoyelles,Louisiana,US,4/10/2020 22:54,31.07796,-92.00079449,56,1,0,0,"Avoyelles, Louisiana, US"
8009,Baca,Colorado,US,4/10/2020 22:54,37.31941,-102.5603223,9,0,0,0,"Baca, Colorado, US"
13005,Bacon,Georgia,US,4/10/2020 22:54,31.55456,-82.45936528,14,0,0,0,"Bacon, Georgia, US"
12003,Baker,Florida,US,4/10/2020 22:54,30.33060,-82.28467476,16,2,0,0,"Baker, Florida, US"
13007,Baker,Georgia,US,4/10/2020 22:54,31.32670,-84.44218806,11,2,0,0,"Baker, Georgia, US"
1003,Baldwin,Alabama,US,4/10/2020 22:54,30.72775,-87.72207058,59,1,0,0,"Baldwin, Alabama, US"
13009,Baldwin,Georgia,US,4/10/2020 22:54,33.06882,-83.24701748,32,1,0,0,"Baldwin, Georgia, US"
21007,Ballard,Kentucky,US,4/10/2020 22:54,37.05843,-88.99427697,1,0,0,0,"Ballard, Kentucky, US"
24005,Baltimore,Maryland,US,4/10/2020 22:54,39.45785,-76.62911955,1072,21,0,0,"Baltimore, Maryland, US"
24510,Baltimore City,Maryland,US,4/10/2020 22:54,39.30212,-76.61151012,689,17,0,0,"Baltimore City, Maryland, US"
45009,Bamberg,South Carolina,US,4/10/2020 22:54,33.21928,-81.05659969,6,0,0,0,"Bamberg, South Carolina, US"
48019,Bandera,Texas,US,4/10/2020 22:54,29.74620,-99.24598147,2,0,0,0,"Bandera, Texas, US"
13011,Banks,Georgia,US,4/10/2020 22:54,34.35607,-83.49644388,7,0,0,0,"Banks, Georgia, US"
16005,Bannock,Idaho,US,4/10/2020 22:54,42.67003,-112.2233311,5,0,0,0,"Bannock, Idaho, US"
20007,Barber,Kansas,US,4/10/2020 22:54,37.22886,-98.68460053,1,0,0,0,"Barber, Kansas, US"
1005,Barbour,Alabama,US,4/10/2020 22:54,31.86826,-85.3871286,9,0,0,0,"Barbour, Alabama, US"
54001,Barbour,West Virginia,US,4/10/2020 22:54,39.13072,-80.00350858,4,0,0,0,"Barbour, West Virginia, US"
38003,Barnes,North Dakota,US,4/10/2020 22:54,46.93580,-98.06605978,2,0,0,0,"Barnes, North Dakota, US"
25001,Barnstable,Massachusetts,US,4/10/2020 22:54,41.72981,-70.28854339,464,11,0,0,"Barnstable, Massachusetts, US"
45011,Barnwell,South Carolina,US,4/10/2020 22:54,33.26679,-81.43584352,5,0,0,0,"Barnwell, South Carolina, US"
21009,Barren,Kentucky,US,4/10/2020 22:54,36.96470,-85.93338945,1,0,0,0,"Barren, Kentucky, US"
55005,Barron,Wisconsin,US,4/10/2020 22:54,45.42373,-91.84833627,6,0,0,0,"Barron, Wisconsin, US"
13013,Barrow,Georgia,US,4/10/2020 22:54,33.99149,-83.71436292,48,3,0,0,"Barrow, Georgia, US"
26015,Barry,Michigan,US,4/10/2020 22:54,42.59514,-85.30834519,7,0,0,0,"Barry, Michigan, US"
