Admin2,Province_State,Lat,Long_,Deaths,Combined_Key
Abbeville,South Carolina,34.22333,-82.46170658,0,"Abbeville, South Carolina, US"
Acadia,Louisiana,30.29506,-92.41419698,4,"Acadia, Louisiana, US"
Accomack,Virginia,37.76707,-75.63234615,0,"Accomack, Virginia, US"
Ada,Idaho,43.45266,-116.2415516,6,"Ada, Idaho, US"
Adair,Iowa,41.33076,-94.47105874,0,"Adair, Iowa, US"
Adair,Kentucky,37.1046,-85.28129668,0,"Adair, Kentucky, US"
Adair,Missouri,40.19059,-92.60078167,0,"Adair, Missouri, US"
Adair,Oklahoma,35.88494,-94.65859267,2,"Adair, Oklahoma, US"
Adams,Colorado,39.87432,-104.3362578,14,"Adams, Colorado, US"
Adams,Idaho,44.89334,-116.4545247,0,"Adams, Idaho, US"
Adams,Illinois,39.98816,-91.18786813,0,"Adams, Illinois, US"
Adams,Indiana,40.74577,-84.93671406,0,"Adams, Indiana, US"
Adams,Mississippi,31.4767,-91.35326037,1,"Adams, Mississippi, US"
Adams,Nebraska,40.52449,-98.50117804,0,"Adams, Nebraska, US"
Adams,Ohio,38.84541,-83.4718964,0,"Adams,Ohio,US"
Adams,Pennsylvania,39.8714,-77.21610347,1,"Adams, Pennsylvania, US"
Adams,Washington,46.983,-118.5601734,0,"Adams, Washington, US"
Adams,Wisconsin,43.96975,-89.76782777,0,"Adams, Wisconsin, US"
Addison,Vermont,44.03217,-73.14130877,0,"Addison, Vermont, US"
Aiken,South Carolina,33.54338,-81.63645384,1,"Aiken, South Carolina, US"
Alachua,Florida,29.67867,-82.35928158,0,"Alachua, Florida, US"
Alamance,North Carolina,36.04347,-79.39976137,0,"Alamance, North Carolina, US"
Alameda,California,37.64629,-121.8929271,20,"Alameda, California, US"
Alamosa,Colorado,37.57251,-105.7885451,0,"Alamosa, Colorado, US"
Albany,New York,42.6006,-73.97723916,11,"Albany, New York, US"
Albany,Wyoming,41.65499,-105.7235415,0,"Albany, Wyoming, US"
Albemarle,Virginia,38.02081,-78.55481085,0,"Albemarle, Virginia, US"
Alcorn,Mississippi,34.88084,-88.57996173,0,"Alcorn, Mississippi, US"
Alexander,North Carolina,35.92238,-81.17751948,0,"Alexander, North Carolina, US"
Alexandria,Virginia,38.814,-77.08183073,1,"Alexandria, Virginia, US"
Allamakee,Iowa,43.28383,-91.37860922,1,"Allamakee, Iowa, US"
Allegan,Michigan,42.59147,-85.89102866,0,"Allegan, Michigan, US"
Allegany,Maryland,39.62358,-78.69280486,0,"Allegany, Maryland, US"
Allegany,New York,42.25748,-78.02750466,1,"Allegany, New York, US"
Alleghany,North Carolina,36.49361,-81.12857041,0,"Alleghany, North Carolina, US"
Alleghany,Virginia,37.78636,-80.00222498,0,"Alleghany, Virginia, US"
Allegheny,Pennsylvania,40.4681,-79.98167747,18,"Allegheny, Pennsylvania, US"
Allen,Indiana,41.09194,-85.06800636,9,"Allen, Indiana, US"
Allen,Kentucky,36.75198,-86.19457544,0,"Allen, Kentucky, US"
Allen,Louisiana,30.65386,-92.82442028,5,"Allen, Louisiana, US"
Allen,Ohio,40.77285,-84.10802343,1,"Allen, Ohio, US"
Allendale,South Carolina,32.98837,-81.35321066,0,"Allendale, South Carolina, US"
Alpine,California,38.59679,-119.8223594,0,"Alpine, California, US"
Amador,California,38.44583,-120.65696,0,"Amador, California, US"
Amelia,Virginia,37.34081,-77.98584649,0,"Amelia, Virginia, US"
Amherst,Virginia,37.60308,-79.14548696,0,"Amherst, Virginia, US"
Amite,Mississippi,31.17467,-90.80501621,1,"Amite, Mississippi, US"
Anchorage,Alaska,61.14998,-149.1426986,4,"Anchorage, Alaska, US"
Anderson,Kansas,38.21413,-95.29272815,0,"Anderson, Kansas, US"
Anderson,Kentucky,38.00671,-84.99171713,1,"Anderson, Kentucky, US"
Anderson,South Carolina,34.51828,-82.63959517,5,"Anderson, South Carolina, US"
Anderson,Tennessee,36.12684,-84.19965764,1,"Anderson, Tennessee, US"
Anderson,Texas,31.81535,-95.65354823,0,"Anderson, Texas, US"
Andrews,Texas,32.30469,-102.6376548,0,"Andrews, Texas, US"
Androscoggin,Maine,44.16647,-70.20380627,0,"Androscoggin, Maine, US"
Angelina,Texas,31.25457,-94.60901487,0,"Angelina, Texas, US"
Anne Arundel,Maryland,39.0067,-76.60329337,16,"Anne Arundel, Maryland, US"
Anoka,Minnesota,45.27476,-93.24604565,0,"Anoka, Minnesota, US"
Anson,North Carolina,34.97403,-80.09953279,0,"Anson, North Carolina, US"
Antelope,Nebraska,42.17696,-98.0666283,0,"Antelope, Nebraska, US"
Antrim,Michigan,44.9969,-85.15503082,0,"Antrim, Michigan, US"
Apache,Arizona,35.39465,-109.4892383,0,"Apache, Arizona, US"
Appanoose,Iowa,40.74324,-92.86865906,1,"Appanoose, Iowa, US"
Appling,Georgia,31.74847,-82.28909114,0,"Appling, Georgia, US"
Appomattox,Virginia,37.3757,-78.81340003,0,"Appomattox, Virginia, US"
Aransas,Texas,28.10556,-96.9995047,0,"Aransas, Texas, US"
Arapahoe,Colorado,39.64977,-104.3353617,19,"Arapahoe, Colorado, US"
Archuleta,Colorado,37.19474,-107.0476867,0,"Archuleta, Colorado, US"
Arenac,Michigan,44.06363,-83.89277559,0,"Arenac, Michigan, US"
Arkansas,Arkansas,34.29145,-91.37277296,0,"Arkansas, Arkansas, US"
Arlington,Virginia,38.87677,-77.10139853,2,"Arlington, Virginia, US"
Armstrong,Pennsylvania,40.81666,-79.46290811,0,"Armstrong, Pennsylvania, US"
Aroostook,Maine,46.65926,-68.59841248,0,"Aroostook, Maine, US"
Ascension,Louisiana,30.20406,-90.9132841,19,"Ascension, Louisiana, US"
Ashe,North Carolina,36.43296,-81.49862729,0,"Ashe, North Carolina, US"
Ashland,Ohio,40.84772,-82.27280781,0,"Ashland, Ohio, US"
Ashland,Wisconsin,46.31957,-90.67837132,0,"Ashland, Wisconsin, US"
Ashley,Arkansas,33.19153,-91.7698471,0,"Ashley, Arkansas, US"
Ashtabula,Ohio,41.7086,-80.74830218,0,"Ashtabula, Ohio, US"
Asotin,Washington,46.18894,-117.2022851,0,"Asotin, Washington, US"
Assumption,Louisiana,29.89946,-91.06461642,1,"Assumption, Louisiana, US"
Atascosa,Texas,28.89333,-98.52730485,0,"Atascosa, Texas, US"
Atchison,Kansas,39.53186,-95.30870026,0,"Atchison, Kansas, US"
Atchison,Missouri,40.43239,-95.42970639,0,"Atchison, Missouri, US"
Athens,Ohio,39.33426,-82.04278644,1,"Athens, Ohio, US"
Atkinson,Georgia,31.29634,-82.87545866,0,"Atkinson, Georgia, US"
Atlantic,New Jersey,39.47539,-74.65848483,6,"Atlantic, New Jersey, US"
Atoka,Oklahoma,34.37367,-96.03802487,0,"Atoka, Oklahoma, US"
Attala,Mississippi,33.08659,-89.57838564,0,"Attala, Mississippi, US"
Audubon,Iowa,41.68446,-94.90581859,0,"Audubon, Iowa, US"
Auglaize,Ohio,40.55999,-84.2242143,0,"Auglaize, Ohio, US"
Augusta,Virginia,38.16405,-79.12461614,0,"Augusta, Virginia, US"
